# of SR,DESCRIPTION,DATETIMEINIT,DATETIMECLOSED,STATUS,PROBADDRESS,SRX,SRY
44 ,Sewer odor, 11/19/2009, 11/20/2009,CLOSED,711 ARLINGTON CT,"1,006,122.00","1,254,266.00"
45 ,Sewer backup, 11/19/2009, 11/20/2009,CLOSED,2 DAUGHERTY CT,"1,008,197.00","1,253,095.00"
46 ,Storm sewer problem/request, 11/19/2009, 11/20/2009,CLOSED,6 GREENCROFT DR,"1,004,675.00","1,250,883.00"
47 ,Pothole repair, 11/19/2009, 12/07/2009,CLOSED,804 N ELM ST,"1,007,663.00","1,259,084.00"
48 ,Pothole repair, 11/19/2009, 11/30/2009,CLOSED,306 W CHURCH ST,"1,008,237.00","1,257,101.00"
49 ,Slick street, 11/19/2009, 11/20/2009,CLOSED,I74 & N Mattis Ave,"999,922.28","1,265,243.05"
50 ,Pothole repair, 11/19/2009, 11/30/2009,CLOSED,807 S DUNCAN RD,"994,790.00","1,253,035.00"
51 ,Pick up dead animal(s), 11/19/2009, 11/23/2009,CLOSED,3800 W KIRBY AVE,"1,004,271.00","1,249,581.00"
52 ,Alley needs more rock, 11/20/2009, 11/30/2009,CLOSED,111 E GREEN ST,"1,011,039.00","1,253,972.00"
53 ,Miscellaneous sewer call, 11/20/2009, 11/23/2009,CLOSED,302 S NEIL ST,"1,009,492.00","1,255,379.00"
54 ,Pick up furniture, 11/20/2009, 11/23/2009,CLOSED,600 E STOUGHTON ST,"1,012,847.00","1,255,332.00"
55 ,Report of a burnt out light in the taffic signal, 11/20/2009, 03/03/2010,CLOSED,S FIRST ST / E GREEN ST,"1,003,601.00","1,248,739.00"
56 ,Sewer backup, 11/20/2009, 11/23/2009,CLOSED,1701 MELANIE LN,"1,001,839.00","1,262,715.00"
57 ,Miscellaneous sewer call, 11/20/2009, 12/16/2009,CLOSED,,,
58 ,Miscellaneous sewer call, 11/20/2009, 12/16/2009,CLOSED,1009 N MATTIS AVE,"1,000,213.00","1,251,551.00"
59 ,Storm sewer problem/request, 11/20/2009, 12/16/2009,CLOSED,1005 N FIFTH ST,"1,012,474.00","1,259,752.00"
60 ,Miscellaneous sewer call, 11/23/2009, 12/16/2009,CLOSED,1522 HOLLY HILL DR,"1,001,416.00","1,261,879.00"
61 ,Tree pruning, 11/23/2009, 11/30/2009,CLOSED,2204 ASPEN DR,"998,602.00","1,245,429.00"
62 ,Sewer backup, 11/23/2009, 11/23/2009,CLOSED,206 N RANDOLPH ST,"1,008,984.00","1,257,547.00"
63 ,Pothole repair, 11/23/2009, 11/30/2009,CLOSED,HENRY ST / S MATTIS AVE,"1,000,680.00","1,253,231.00"
64 ,Miscellaneous sewer call, 11/23/2009, 12/16/2009,CLOSED,700 SEDGEGRASS DR,"990,445.00","1,257,933.00"
65 ,Pothole repair, 11/23/2009, 11/30/2009,CLOSED,202 W CLARK ST,"1,008,854.00","1,255,996.00"
66 ,Blade or grade alley, 11/24/2009, 11/30/2009,CLOSED,1700 INDUSTRIAL PARK DR,"1,000,680.00","1,270,755.00"
67 ,Pothole repair, 11/24/2009, 11/30/2009,CLOSED,BROADMOOR DR & MAYFAIR RD,"1,001,994.00","1,248,063.00"
68 ,Pothole repair, 11/24/2009, 12/07/2009,CLOSED,710 VENTURA RD,"1,006,179.00","1,249,249.00"
69 ,Inspect sewer, 11/24/2009, 12/14/2009,CLOSED,710 VENTURA RD,"1,006,179.00","1,249,249.00"
70 ,Pick up miscellaneous debris, 11/24/2009, 11/30/2009,CLOSED,209 E CLARK ST,"1,011,433.00","1,255,833.00"
71 ,"Miscellaneous mowing: lots, ROW, etc.", 11/24/2009, 11/30/2009,CLOSED,200 W BEARDSLEY AVE,"1,004,610.00","1,259,991.00"
73 ,Sewer backup, 11/24/2009, 11/30/2009,CLOSED,120 N NEIL ST,"1,009,429.00","1,256,595.00"
74 ,Pothole repair, 11/24/2009, 12/07/2009,CLOSED,2704 LAWNDALE DR,"995,990.00","1,250,366.00"
75 ,Blade or grade alley, 11/24/2009, 12/07/2009,CLOSED,1700 INDUSTRIAL PARK DR,"1,000,680.00","1,270,755.00"
76 ,Loose manhole cover, 11/25/2009, 11/30/2009,CLOSED,302 S NEIL ST,"1,009,492.00","1,255,379.00"
77 ,Pick up dead animal(s), 11/25/2009, 11/30/2009,CLOSED,1301 GARDEN LN,"1,008,614.00","1,260,793.00"
78 ,Tree branch on ROW needs to picked up, 11/30/2009, 12/14/2009,CLOSED,706 W COLUMBIA AVE,"1,006,520.00","1,258,146.00"
79 ,Clean inlet, 11/30/2009, 12/03/2009,CLOSED,2411 NOTTINGHAM CT N,"1,004,948.00","1,244,005.00"
80 ,Blade or grade alley, 11/30/2009, 12/07/2009,CLOSED,308 E WASHINGTON ST,"1,011,802.00","1,257,705.00"
81 ,Inspect sewer, 11/30/2009, 05/26/2010,CLOSED,716 TOWN CENTER BLVD,"1,006,126.00","1,266,670.00"
82 ,Blade or grade alley, 11/30/2009, 12/16/2009,CLOSED,E WHITE ST / N SECOND ST,"1,011,174.00","1,255,601.00"
83 ,Sewer backup, 11/30/2009, 11/30/2009,CLOSED,1401 MAPLEPARK DR,"995,101.00","1,250,534.00"
84 ,Sewer backup, 11/30/2009, 11/30/2009,CLOSED,908 W TREMONT ST,"1,005,147.00","1,259,356.00"
85 ,Sewer backup, 11/30/2009, 12/03/2009,CLOSED,1401 MAPLEPARK DR,"995,101.00","1,250,534.00"
86 ,Water leak, 12/01/2009, 12/03/2009,CLOSED,82 E UNIVERSITY AVE,"1,009,511.00","1,256,217.00"
87 ,Pick up dead animal(s), 12/01/2009, 12/03/2009,CLOSED,1104 S DUNCAN RD,"994,967.00","1,251,913.00"
88 ,Pothole repair, 12/01/2009, 12/07/2009,CLOSED,300 N WILLIS AVE,"1,004,723.00","1,257,201.00"
89 ,Pothole repair, 12/01/2009, 12/07/2009,CLOSED,CHALMERS ST / S WRIGHT ST,"1,013,481.00","1,252,848.00"
90 ,Tree inspection, 12/01/2009, 12/03/2009,CLOSED,109 N WALNUT ST,"1,009,597.00","1,256,484.00"
91 ,Pothole repair, 12/01/2009, 12/16/2009,CLOSED,FOOTHILL DR / LINCOLNSHIRE DR,"1,003,012.00","1,249,207.00"
92 ,Pick up miscellaneous debris, 12/02/2009, 12/03/2009,CLOSED,GLEN BURNIE DR / N MATTIS AVE,"1,000,009.00","1,260,832.00"
93 ,Pothole repair, 12/02/2009, 12/07/2009,CLOSED,S WRIGHT ST / E GREEN ST,"1,013,468.00","1,254,113.00"
94 ,Pick up dead animal(s), 12/02/2009, 12/03/2009,CLOSED,1908 SANGAMON DR,"999,399.00","1,251,274.00"
95 ,Asphalt repair for sidewalk tripper, 12/02/2009, 09/09/2010,CLOSED,1210 LANCASTER DR,"1,003,193.00","1,244,010.00"
96 ,Miscellaneous sewer call, 12/02/2009, 12/03/2009,CLOSED,600 E DANIEL ST,"994,950.00","1,252,957.00"
97 ,Pick up miscellaneous debris, 12/02/2009, 12/03/2009,CLOSED,600 S SIXTH ST,"1,013,057.00","1,254,530.00"
98 ,Miscellaneous street problem, 12/02/2009, 12/28/2009,CLOSED,1901 S PROSPECT AVE,"1,005,360.00","1,247,581.00"
99 ,Miscellaneous sewer call, 12/03/2009, 12/07/2009,CLOSED,2128 PEACH ST,"1,006,044.00","1,245,694.00"
100 ,Sewer backup, 12/03/2009, 12/07/2009,CLOSED,218 BRIAR LN,"1,008,512.00","1,262,229.00"
101 ,Pothole repair, 12/03/2009, 12/07/2009,CLOSED,S FIRST ST / E CHALMERS ST,"1,010,732.00","1,252,731.00"
102 ,Pick up miscellaneous debris, 12/03/2009, 12/07/2009,CLOSED,305 W BEARDSLEY AVE,"1,008,231.00","1,260,050.00"
103 ,Sewer backup, 12/03/2009, 12/07/2009,CLOSED,1410 BRIARWOOD DR,"997,300.00","1,250,350.00"
104 ,Blade or grade alley, 12/03/2009, 12/14/2009,CLOSED,407 W GREEN ST,"1,007,729.00","1,253,964.00"
106 ,Water leak, 12/04/2009, 12/07/2009,CLOSED,82 E UNIVERSITY AVE,"1,010,563.00","1,256,413.00"
107 ,Sewer odor, 12/04/2009, 12/07/2009,CLOSED,503 ROBINSON CT,"1,002,329.00","1,257,820.00"
108 ,Pick up dead animal(s), 12/04/2009, 12/07/2009,CLOSED,1000 S DUNCAN RD,"994,899.00","1,252,506.00"
109 ,Sewer backup, 12/07/2009, 12/14/2009,CLOSED,819 W WASHINGTON ST,"1,005,599.00","1,257,647.00"
110 ,Clean alley of vegetation/debris, 12/07/2009, 12/14/2009,CLOSED,500 W White St*,"1,007,299.10","1,255,577.54"
111 ,Blade or grade alley, 12/07/2009, 04/12/2010,CLOSED,300 W COLUMBIA AVE,"1,008,136.00","1,258,142.00"
112 ,Miscellaneous sewer call, 12/07/2009, 12/14/2009,CLOSED,300 W COLUMBIA AVE,"1,008,124.00","1,257,985.00"
113 ,Miscellaneous sewer call, 12/07/2009, 12/16/2009,CLOSED,916 W EUREKA ST,"1,004,882.00","1,259,661.00"
114 ,Sewer backup, 12/07/2009, 12/14/2009,CLOSED,2106 RODNEY DR,"998,271.00","1,249,511.00"
115 ,Sewer backup, 12/07/2009, 12/14/2009,CLOSED,1005 S WRIGHT ST,"1,013,356.00","1,252,635.00"
116 ,Water leak, 12/08/2009, 12/14/2009,CLOSED,914 W EUREKA ST,"1,004,937.00","1,259,666.00"
117 ,Pick up miscellaneous debris, 12/09/2009, 12/14/2009,CLOSED,2400 S MATTIS AVE,"1,000,221.00","1,244,372.00"
118 ,Slick street, 12/09/2009, 12/14/2009,CLOSED,S PROSPECT AVE / W WINDSOR RD,"1,005,473.00","1,244,375.00"
119 ,Slick street, 12/09/2009, 12/14/2009,CLOSED,200 N NEIL ST,"1,009,496.00","1,265,817.00"
120 ,Tree fallen to ground, 12/09/2009, 12/14/2009,CLOSED,3101 W DANIEL ST,"994,164.00","1,253,279.00"
121 ,Tree inspection, 12/09/2009, 12/14/2009,CLOSED,N FAIR ST / W SPRINGFIELD AVE,"1,001,291.00","1,255,005.00"
122 ,Pothole repair, 12/09/2009, 12/16/2009,CLOSED,2900 Valley Brook Dr*,"995,362.09","1,245,298.17"
123 ,Pick up dead animal(s), 12/09/2009, 12/14/2009,CLOSED,CRESCENT DR / CYPRESS DR,"998,635.00","1,247,865.00"
124 ,Tree branch on ROW needs to picked up, 12/09/2009, 12/14/2009,CLOSED,1504 THORNTON DR,"1,000,982.00","1,261,768.00"
125 ,Pick up miscellaneous debris, 12/09/2009, 12/14/2009,CLOSED,W KIRBY AVE / MAYFAIR RD,"1,002,269.00","1,249,692.00"
126 ,Tree branch on ROW needs to picked up, 12/09/2009, 12/14/2009,CLOSED,1601 W CHURCH ST,"1,003,853.00","1,257,109.00"
127 ,Tree branch on ROW needs to picked up, 12/09/2009, 12/14/2009,CLOSED,GARDEN HILLS DR / HOLLY HILL DR,"1,001,166.00","1,261,844.00"
128 ,Tree branch on ROW needs to picked up, 12/09/2009, 12/14/2009,CLOSED,2806 WILLOW BEND RD,"995,758.00","1,241,588.00"
129 ,Sewer backup, 12/09/2009, 12/14/2009,CLOSED,2402 ARDEN DR,"997,413.00","1,249,293.00"
130 ,Water leak, 12/09/2009, 12/14/2009,CLOSED,S STALEY RD / W SPRINGFIELD AVE,"1,002,158.00","1,245,939.00"
131 ,Place/fix delineator, 12/10/2009, 12/14/2009,CLOSED,BAYHILL DR / CHERRY HILLS DR,"996,359.00","1,240,831.00"
132 ,Pick up miscellaneous debris, 12/10/2009, 12/14/2009,CLOSED,W MAPLE ST / N PROSPECT AVE,"1,005,337.00","1,258,796.00"
133 ,Slick street, 12/10/2009, 12/14/2009,CLOSED,W SPRINGFIELD AVE / S STALEY RD,"989,508.00","1,255,166.00"
134 ,Sewer backup, 12/10/2009, 12/14/2009,CLOSED,1708 HEDGE RD,"1,000,380.00","1,262,653.00"
135 ,Slick street, 12/10/2009, 12/14/2009,CLOSED,1405 W KIRBY AVE,"1,002,095.00","1,249,573.00"
136 ,Tree branch on ROW needs to picked up, 12/10/2009, 12/14/2009,CLOSED,15 HEDGE CT,"1,002,437.00","1,261,537.00"
137 ,Miscellaneous sewer call, 12/10/2009, 12/14/2009,CLOSED,1405 W KIRBY AVE,"1,002,375.00","1,261,341.00"
138 ,Sewer backup, 12/10/2009, 12/14/2009,CLOSED,1113 NEWBURY RD,"1,003,806.00","1,246,729.00"
139 ,Miscellaneous sewer call, 12/10/2009, 12/14/2009,CLOSED,528 E GREEN ST,"1,012,976.00","1,254,180.00"
140 ,Slick street, 12/10/2009, 12/16/2009,CLOSED,W GREEN ST / WESTLAWN AVE,"1,001,606.00","1,254,087.00"
141 ,Slick street, 12/11/2009, 12/15/2009,CLOSED,N MATTIS AVE / PARKLAND WAY,"999,987.00","1,262,080.00"
142 ,Water leak, 12/11/2009, 04/12/2010,CLOSED,N EDWIN ST / W COLUMBIA AVE,"1,003,023.00","1,258,117.00"
143 ,Tree pruning, 12/11/2009, 12/14/2009,CLOSED,1707 W PARK AVE,"1,000,384.00","1,256,605.00"
144 ,Tree removal, 12/11/2009, 12/14/2009,CLOSED,2206 TAMARACK DR,"998,502.00","1,246,487.00"
145 ,Clean inlet, 12/14/2009, 12/15/2009,CLOSED,203 BROOKWOOD DR,"1,008,851.00","1,261,369.00"
146 ,Sewer backup, 12/14/2009, 12/14/2009,CLOSED,11 E MARKETVIEW DR,"1,009,706.00","1,264,007.00"
147 ,Pick up dead animal(s), 12/14/2009, 12/15/2009,CLOSED,500 N DUNCAN RD,"994,807.00","1,258,495.00"
148 ,Pick up abandoned bicycle(s), 12/14/2009, 12/15/2009,CLOSED,S FAIR ST / W JOHN ST,"1,001,197.00","1,253,608.00"
149 ,Tree branch on ROW needs to picked up, 12/14/2009, 12/14/2009,CLOSED,E CHALMERS ST / S THIRD ST,"1,011,657.00","1,252,742.00"
150 ,Pick up miscellaneous debris, 12/14/2009, 12/15/2009,CLOSED,E BRADLEY AVE / N MARKET ST,"1,010,682.00","1,260,275.00"
151 ,Loose manhole cover, 12/14/2009, 12/15/2009,CLOSED,408 E SPRINGFIELD AVE,"1,012,337.00","1,255,045.00"
152 ,Electrical repair, 12/15/2009, 12/18/2009,CLOSED,82 E University Ave,"1,010,563.21","1,256,413.35"
153 ,Carpentry repair, 12/15/2009, 12/30/2009,CLOSED,102 N NEIL,"1,006,793.00","1,261,827.00"
154 ,Pothole repair, 12/15/2009, 12/16/2009,CLOSED,804 W WASHINGTON ST,"1,006,047.00","1,257,782.00"
155 ,Carpentry repair, 12/15/2009, 12/30/2009,CLOSED,82 E University Ave,"1,010,563.21","1,256,413.35"
156 ,Pick up dead animal(s), 12/15/2009, 12/16/2009,CLOSED,1800 N PROSPECT AVE,"1,005,338.00","1,263,433.00"
157 ,Sewer backup, 12/15/2009, 12/16/2009,CLOSED,104 E BELLEFONTAINE ST,"1,010,837.00","1,261,172.00"
158 ,Tree branch on ROW needs to picked up, 12/15/2009, 12/16/2009,CLOSED,1005 W HEALEY ST,"1,004,517.00","1,254,540.00"
159 ,Move/remove furniture from City buildings, 12/15/2009, 12/30/2009,CLOSED,713 Edgebrook Dr,"1,006,377.25","1,261,726.14"
160 ,Miscellaneous sewer call, 12/15/2009, 12/16/2009,CLOSED,1406 FAIRFAX DR,"1,001,638.00","1,267,594.00"
161 ,Carpentry repair, 12/16/2009, 12/30/2009,CLOSED,82 E University Ave,"1,010,563.21","1,256,413.35"
162 ,Sweeping of street, 12/16/2009, 12/16/2009,CLOSED,2300 W BLOOMINGTON RD,"997,811.00","1,265,373.00"
163 ,Heating/air conditioning complaints, 12/16/2009, 12/30/2009,CLOSED,82 E University Ave,"1,010,563.21","1,256,413.35"
164 ,Sewer backup, 12/16/2009, 04/12/2010,CLOSED,615 BONNYMEADE DR,"992,408.00","1,253,889.00"
165 ,Electrical repair, 12/16/2009, 12/30/2009,CLOSED,102 N Neil St,"1,009,517.05","1,256,347.04"
166 ,Electrical repair, 12/16/2009, 12/30/2009,CLOSED,82 E University Ave,"1,010,563.21","1,256,413.35"
167 ,Carpentry repair, 12/16/2009, 12/16/2009,CLOSED,102 N Neil St,"1,009,517.05","1,256,347.04"
168 ,Carpentry repair, 12/16/2009, 12/30/2009,CLOSED,82 E University Ave,"1,010,563.21","1,256,413.35"
169 ,Carpentry repair, 12/16/2009, 12/30/2009,CLOSED,82 E University Ave,"1,010,563.21","1,256,413.35"
170 ,Carpentry repair, 12/16/2009, 04/27/2010,CLOSED,102 N Neil St,"1,009,517.05","1,256,347.04"
171 ,PW repairs/improvements, 12/16/2009, 12/30/2009,CLOSED,102 N Neil St,"1,009,517.05","1,256,347.04"
172 ,Carpentry repair, 12/16/2009, 12/30/2009,CLOSED,82 E University Ave,"1,010,563.21","1,256,413.35"
173 ,Plumbing repair, 12/16/2009, 12/30/2009,CLOSED,102 N Neil St,"1,009,517.05","1,256,347.04"
174 ,Plumbing repair, 12/16/2009, 12/30/2009,CLOSED,307 S Randolph St,"1,008,710.27","1,255,503.83"
175 ,Slick street, 12/16/2009, 12/21/2009,CLOSED,BROOKWOOD DR / GARDEN LN,"1,008,965.00","1,261,390.00"
176 ,"Installation of shelves, pictures, plaques, etc.", 12/17/2009, 12/30/2009,CLOSED,82 E University Ave,"1,010,563.21","1,256,413.35"
177 ,Move/remove furniture from City buildings, 12/17/2009, 12/30/2009,CLOSED,102 N Neil St,"1,009,517.05","1,256,347.04"
178 ,Plumbing repair, 12/17/2009, 12/17/2009,CLOSED,102 N Neil St,"1,009,517.05","1,256,347.04"
179 ,Pick up dead animal(s), 12/17/2009, 12/21/2009,CLOSED,305 CARSON AVE,"1,001,478.00","1,257,238.00"
180 ,Pick up abandoned bicycle(s), 12/17/2009, 12/21/2009,CLOSED,E PARK AVE / N SECOND ST,"1,011,168.00","1,256,663.00"
181 ,Pothole repair, 12/17/2009, 12/21/2009,CLOSED,1716 W BRADLEY AVE,"1,000,390.00","1,260,499.00"
182 ,Tree hanger, 12/17/2009, 12/21/2009,CLOSED,1217 W DANIEL ST,"1,002,910.00","1,253,248.00"
183 ,Pick up dead animal(s), 12/17/2009, 12/21/2009,CLOSED,205 S RUSSELL ST,"1,002,639.00","1,255,742.00"
184 ,Sewer backup, 12/17/2009, 12/21/2009,CLOSED,1101 MAPLEPARK DR,"995,080.00","1,251,969.00"
185 ,Sewer backup, 12/18/2009, 12/21/2009,CLOSED,S NEIL ST / W KIRBY AVE,"1,009,075.00","1,249,646.00"
186 ,Pothole repair, 12/18/2009, 12/28/2009,CLOSED,W BRADLEY AVE / N STALEY RD,"989,473.00","1,260,463.00"
187 ,Sewer backup, 12/18/2009, 12/21/2009,CLOSED,902 OAKCREST DR,"995,730.00","1,252,879.00"
188 ,Slick street, 12/21/2009, 12/28/2009,CLOSED,1200 W WASHINGTON ST,"1,003,364.00","1,257,745.00"
189 ,Sewer backup, 12/21/2009, 12/21/2009,CLOSED,809 STRATFORD DR,"995,851.00","1,252,926.00"
190 ,Miscellaneous street problem, 12/21/2009, 04/14/2010,CLOSED,206 GARWOOD ST,"1,011,392.00","1,260,786.00"
191 ,Miscellaneous sewer call, 12/22/2009, 12/28/2009,CLOSED,804 N MCKINLEY AVE,"1,004,090.00","1,257,595.00"
192 ,Pick up miscellaneous debris, 12/22/2009, 12/28/2009,CLOSED,304 W EUREKA ST,"1,008,289.00","1,259,698.00"
193 ,Sewer backup, 12/22/2009, 12/28/2009,CLOSED,1411 N MARKET ST,"1,010,593.00","1,261,550.00"
194 ,Pick up furniture, 12/23/2009, 12/28/2009,CLOSED,700 S SIXTH ST,"1,013,064.00","1,254,089.00"
195 ,Curb repair needed, 12/23/2009, 03/11/2010,CLOSED,1202 W CHURCH ST,"1,003,301.00","1,257,096.00"
196 ,Sewer backup, 12/23/2009, 12/28/2009,CLOSED,1203 PAULA DR,"1,003,323.00","1,261,836.00"
197 ,Tree branch on ROW needs to picked up, 12/23/2009, 12/28/2009,CLOSED,606 W JOHN ST,"1,006,900.00","1,253,723.00"
199 ,Miscellaneous sewer call, 12/23/2009, 12/28/2009,CLOSED,303 W GREEN ST,"1,008,346.00","1,253,845.00"
200 ,Pick up miscellaneous debris, 12/25/2009, 01/04/2010,CLOSED,N PROSPECT AVE / W HILL ST,"1,005,350.00","1,257,339.00"
201 ,Sewer backup, 12/25/2009, 04/12/2010,CLOSED,1114 CENTENNIAL DR,"996,225.00","1,251,515.00"
202 ,Sewer backup, 12/25/2009, 12/28/2009,CLOSED,1014-1016 FRANK DR,"999,476.00","1,252,479.00"
203 ,Sewer backup, 12/27/2009, 12/28/2009,CLOSED,704 CASTLETON DR,"993,319.00","1,253,493.00"
204 ,Pothole repair, 12/27/2009, 01/12/2010,CLOSED,1006 WESTLAWN AVE,"1,001,655.00","1,252,484.00"
205 ,Water leak, 12/27/2009, 01/14/2010,CLOSED,704 BALBOA RD,"1,006,476.00","1,248,573.00"
206 ,Sewer backup, 12/28/2009, 12/31/2009,CLOSED,619 W UNION ST,"1,006,428.00","1,255,200.00"
207 ,Slick street, 12/28/2009, 03/03/2010,CLOSED,S MATTIS AVE / W CURTIS RD,"1,013,468.00","1,254,113.00"
208 ,Snow & Ice mailbox repair, 12/28/2009, 01/26/2010,CLOSED,2208 GALEN DR,"1,001,197.00","1,257,979.00"
209 ,Manhole cover missing, 12/28/2009, 01/04/2010,CLOSED,S WRIGHT ST / E GREEN ST,"1,013,468.00","1,254,113.00"
210 ,Pick up miscellaneous debris, 12/28/2009, 12/31/2009,CLOSED,300 S SIXTH ST,"1,013,050.00","1,255,603.00"
211 ,Pick up furniture, 12/28/2009, 12/31/2009,CLOSED,315 E UNIVERSITY AVE,"1,012,080.00","1,256,239.00"
212 ,Place/fix delineator, 12/29/2009, 05/24/2010,CLOSED,3209 CHERRY HILLS DR,"996,362.00","1,240,739.00"
213 ,Miscellaneous street problem, 12/29/2009, 01/06/2010,CLOSED,3209 Cherry Hills Dr,"996,273.82","1,240,443.94"
214 ,Sewer backup, 12/29/2009, 04/12/2010,CLOSED,1302 BRIARWOOD DR,"997,054.00","1,250,799.00"
215 ,Snow & Ice mailbox repair, 12/29/2009, 01/26/2010,CLOSED,2509 CLAYTON BLVD,"997,293.00","1,259,461.00"
216 ,Pick up dead animal(s), 12/29/2009, 12/31/2009,CLOSED,N NEIL ST/ W BRADLEY AVE,"1,009,346.00","1,260,261.00"
217 ,Pick up abandoned bicycle(s), 12/29/2009, 12/31/2009,CLOSED,S FIRST ST / E KIRBY AVE,"1,010,765.00","1,249,636.00"
218 ,Tree fallen to ground, 12/29/2009, 01/04/2010,CLOSED,914 W EUREKA ST,"1,004,937.00","1,259,666.00"
219 ,Plow request, 12/29/2009, 12/31/2009,CLOSED,2418 ALTON DR,"997,200.00","1,251,768.00"
220 ,Pothole repair, 12/30/2009, 01/12/2010,CLOSED,100 E WASHINGTON ST,"1,010,712.00","1,257,629.00"
221 ,Snow & Ice mailbox repair, 12/30/2009, 01/26/2010,CLOSED,1007 W KIRBY AVE,"1,004,365.00","1,249,581.00"
222 ,Place/fix delineator, 12/30/2009, 05/24/2010,CLOSED,803 AYRSHIRE CIR,"1,005,868.00","1,246,804.00"
223 ,Pothole repair, 12/30/2009, 01/12/2010,CLOSED,500 N COUNTRY FAIR DR,"998,702.00","1,258,121.00"
224 ,Slick street, 12/30/2009, 03/03/2010,CLOSED,W WILLIAM ST/ WESTLAWN AVE,"1,001,794.00","1,253,102.00"
